in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,out:SE,out:Mass_CSOptim,out:Deflection_CSOptim,out:SE_CSOptim,out:HasFailed_CSOptim,img
-0.8,0,-2,0.013333,1187.214641,0.006666,77.700895,0.40784,0.20392,False,dy_4-0.8_dx_00_dy_0-2.png
-0.4,0,-2,0.017438,1221.828034,0.008719,109.109757,0.449101,0.22455,False,dy_4-0.4_dx_00_dy_0-2.png
0,0,-2,0.02047,1267.640954,0.010235,121.521243,0.454289,0.227144,False,dy_40_dx_00_dy_0-2.png
0.4,0,-2,0.018554,1324.920554,0.009277,171.780976,0.30451,0.152255,True,dy_40.4_dx_00_dy_0-2.png
0.8,0,-2,0.014605,1392.870115,0.007302,139.369566,0.136815,0.068408,False,dy_40.8_dx_00_dy_0-2.png
1.2,0,-2,0.011815,1469.862743,0.005907,139.576752,0.092409,0.046205,False,dy_41.2_dx_00_dy_0-2.png
1.6,0,-2,0.010305,1554.00049,0.005152,152.323355,0.07013,0.035065,False,dy_41.6_dx_00_dy_0-2.png
2,0,-2,0.009589,1643.556086,0.004795,166.357934,0.060914,0.030457,False,dy_42_dx_00_dy_0-2.png
-2,0.2,-2,0.008593,1106.625276,0.004297,33.549774,0.336123,0.168062,False,dy_4-2_dx_00.2_dy_0-2.png
-1.6,0.2,-2,0.00907,1115.41412,0.004535,40.639629,0.351638,0.175819,False,dy_4-1.6_dx_00.2_dy_0-2.png
-1.2,0.2,-2,0.010435,1132.876598,0.005217,50.911057,0.398471,0.199236,False,dy_4-1.2_dx_00.2_dy_0-2.png
-0.8,0.2,-2,0.013091,1159.094374,0.006546,75.671249,0.403841,0.20192,False,dy_4-0.8_dx_00.2_dy_0-2.png
-0.4,0.2,-2,0.017227,1195.106067,0.008613,94.018717,0.456414,0.228207,False,dy_4-0.4_dx_00.2_dy_0-2.png
0,0.2,-2,0.020356,1241.998516,0.010178,119.413886,0.460966,0.230483,False,dy_40_dx_00.2_dy_0-2.png
0.4,0.2,-2,0.018553,1300.13234,0.009277,181.454059,0.282978,0.141489,False,dy_40.4_dx_00.2_dy_0-2.png
